t;iL;iG;iSd;slope
0;0;0;0;724.313
0;0;0;1;450
0;0;0;2;450
0;0;0;3;450
0;0;0;4;450
0;0;0;5;450
0;0;0;6;450
0;0;0;7;450
0;0;0;8;450
0;0;1;0;450
0;0;1;1;450
0;0;1;2;450
0;0;1;3;450
0;0;1;4;450
0;0;1;5;450
0;0;1;6;450
0;0;1;7;450
0;0;1;8;450
0;0;2;0;450
0;0;2;1;450
0;0;2;2;450
0;0;2;3;450
0;0;2;4;450
0;0;2;5;450
0;0;2;6;450
0;0;2;7;450
0;0;2;8;450
0;0;3;0;450
0;0;3;1;450
0;0;3;2;450
0;0;3;3;450
0;0;3;4;450
0;0;3;5;450
0;0;3;6;450
0;0;3;7;450
0;0;3;8;450
0;0;4;0;450
0;0;4;1;450
0;0;4;2;450
0;0;4;3;450
0;0;4;4;450
0;0;4;5;450
0;0;4;6;450
0;0;4;7;450
0;0;4;8;450
0;0;5;0;450
0;0;5;1;450
0;0;5;2;450
0;0;5;3;450
0;0;5;4;450
0;0;5;5;450
0;0;5;6;450
0;0;5;7;450
0;0;5;8;450
0;1;0;0;450
0;1;0;1;450
0;1;0;2;450
0;1;0;3;450
0;1;0;4;450
0;1;0;5;450
0;1;0;6;450
0;1;0;7;450
0;1;0;8;450
0;1;1;0;450
0;1;1;1;450
0;1;1;2;450
0;1;1;3;450
0;1;1;4;450
0;1;1;5;450
0;1;1;6;450
0;1;1;7;450
0;1;1;8;450
0;1;2;0;450
0;1;2;1;450
0;1;2;2;450
0;1;2;3;450
0;1;2;4;450
0;1;2;5;450
0;1;2;6;450
0;1;2;7;450
0;1;2;8;450
0;1;3;0;450
0;1;3;1;450
0;1;3;2;450
0;1;3;3;450
0;1;3;4;450
0;1;3;5;450
0;1;3;6;450
0;1;3;7;450
0;1;3;8;450
0;1;4;0;450
0;1;4;1;450
0;1;4;2;450
0;1;4;3;450
0;1;4;4;450
0;1;4;5;450
0;1;4;6;450
0;1;4;7;450
0;1;4;8;450
0;1;5;0;450
0;1;5;1;450
0;1;5;2;450
0;1;5;3;450
0;1;5;4;450
0;1;5;5;450
0;1;5;6;450
0;1;5;7;450
0;1;5;8;450
0;2;0;0;450
0;2;0;1;450
0;2;0;2;450
0;2;0;3;450
0;2;0;4;450
0;2;0;5;450
0;2;0;6;450
0;2;0;7;450
0;2;0;8;450
0;2;1;0;450
0;2;1;1;450
0;2;1;2;450
0;2;1;3;450
0;2;1;4;450
0;2;1;5;450
0;2;1;6;450
0;2;1;7;450
0;2;1;8;450
0;2;2;0;450
0;2;2;1;450
0;2;2;2;450
0;2;2;3;450
0;2;2;4;450
0;2;2;5;450
0;2;2;6;450
0;2;2;7;450
0;2;2;8;450
0;2;3;0;450
0;2;3;1;450
0;2;3;2;450
0;2;3;3;450
0;2;3;4;450
0;2;3;5;450
0;2;3;6;450
0;2;3;7;450
0;2;3;8;450
0;2;4;0;450
0;2;4;1;450
0;2;4;2;450
0;2;4;3;450
0;2;4;4;450
0;2;4;5;450
0;2;4;6;450
0;2;4;7;450
